index,word,mean,weight,last_attempt_date,t,s,forget_times,probability
61,adversary,"敌手，对手：resists, enemy",0,04/12/2020,0,0,0,0
62,advert,引起注意，提到：refer,0,04/12/2020,0,0,0,0
63,advocate,支持，提倡：support,0,04/12/2020,0,0,0,0
64,affable,"和蔼的，温和的：ease, friendliness",0,04/12/2020,0,0,0,0
65,affinity,喜欢，倾向：attraction,0,04/12/2020,0,0,0,0
66,affluent,富裕的：sufficient,0,04/12/2020,0,0,0,0
67,aggrandize,增加、提高（力量、财富、地位、声誉）等：enhance,0,04/12/2020,0,0,0,0
68,aggravate,"加重，恶化：worse, serious, severe",0,04/12/2020,0,0,0,0
69,aggregate,"集合体：units or parts, associated; 集合，聚焦：collect or gather",0,04/12/2020,0,0,0,0
70,aggressive,好斗的：attack; 强有力的，强烈的：forcefulness,0,04/12/2020,0,0,0,0
71,aggrieve,"使苦恼，使悲痛：pain, trouble, distress",0,04/12/2020,0,0,0,0
72,agitate,"煽动，激起：arouse; 使不安：trouble the mind, disturb",0,04/12/2020,0,0,0,0
73,agog,极度感兴趣的：urgent desire or interest,0,04/12/2020,0,0,0,0
74,agonize,（使）非常痛苦：deep sadness,0,04/12/2020,0,0,0,0
75,airtight,"无瑕疵的：no, flaw; 密封的，不透气的：impermeable to air",0,04/12/2020,0,0,0,0
76,alacrity,反应迅速，乐意，欣然,0,04/12/2020,0,0,0,0
77,alibi,不在场的证明，托辞，借口：excuse,0,04/12/2020,0,0,0,0
78,alienate,疏远，离间：make unfriendly; 转移，变卖（财产或权利）：convey or transfer,0,04/12/2020,0,0,0,0
79,align,使排成一行：line; 调准，校准：adjust,0,04/12/2020,0,0,0,0
80,allay,"减轻：subdue, reduce, intensity or severity",0,04/12/2020,0,0,0,0
81,allegiance,忠诚：devotion or loyalty,0,04/12/2020,0,0,0,0
82,alleviate,"缓和，减轻：relieve, lessen",0,04/12/2020,0,0,0,0
83,allude,间接提到：indirectly,0,04/12/2020,0,0,0,0
84,allure,"吸引：attract or delight; 诱惑做（某事）lead, pleasure or advantage",0,04/12/2020,0,0,0,0
85,ally,盟友，支持者：association; 加入联盟：enter,0,04/12/2020,0,0,0,0
86,aloft,在空中：in flight,0,04/12/2020,0,0,0,0
87,aloof,孤高的，不合群的：distant,0,04/12/2020,0,0,0,0
88,altruism,利他主义：unselfish,0,04/12/2020,0,0,0,0
89,amalgamate,"合并，混合：combine, unified, unite",0,04/12/2020,0,0,0,0
90,ambiguous,"有多种理解方式的，不确定的：more than one, doubt, uncertain",0,04/12/2020,0,0,0,0
91,amble,"漫步，闲逛：walk slowly, leisurely, stroll",0,04/12/2020,0,0,0,0
92,ambrosial,（食物）特别美味的，香的：extremely pleasing,0,04/12/2020,0,0,0,0
93,ameliorate,"改善，改进：become better, improve",0,04/12/2020,0,0,0,0
94,amenable     ,"顺从的，服从的：yield, submit",0,04/12/2020,0,0,0,0
95,amenity     ,"（环境、设备等的）舒适，人性化：comfort; 融洽，和谐：pleasant, agreeable",0,04/12/2020,0,0,0,0
96,amiable     ,好脾气，友好易相处的：friendly,0,04/12/2020,0,0,0,0
97,amicable     ,"友善的：friendly, amiable",0,04/12/2020,0,0,0,0
98,amity     ,"友好关系，亲善和睦：friendship, friendly",0,04/12/2020,0,0,0,0
99,amorphous     ,"无固定形状的：definite, shapeless; 不可归类的：unclassifiable",0,04/12/2020,0,0,0,0
100,analgesic     ,"镇痛剂：medication, reduce, eliminates pain",0,04/12/2020,0,0,0,0
101,anarchist     ,反抗权威的人：rebels against any authority,0,04/12/2020,0,0,0,0
102,anathema     ,诅咒：curse,0,04/12/2020,0,0,0,0
103,ancillary     ,"次要的：secondary importance;辅助的，补充的：auxiliary, supplementary",0,04/12/2020,0,0,0,0
104,anecdote     ,"短小有趣的故事：short narrative, interesting, amusing",0,04/12/2020,0,0,0,0
105,anemic     ,缺乏力量、活力、精神的：lacking force,0,04/12/2020,0,0,0,0
106,anesthetic     ,止痛剂：relieves pain; 无感觉的，麻木的：lacking awareness or sensitivity,0,04/12/2020,0,0,0,0
107,animate     ,活的：有活力的：life; 使有活力，支持：high-spirited energy; 使行动，驱使：action; 使活灵活现，使栩栩如生：lifelike movement,0,04/12/2020,0,0,0,0
108,animus     ,"敌意：spiteful, malevolent, enmity",0,04/12/2020,0,0,0,0
109,annoy     ,"不断烦扰：disturb, repeated",0,04/12/2020,0,0,0,0
110,annul     ,"宣告无效，取消：legally invalid; 抵消：balance, ineffective",0,04/12/2020,0,0,0,0
111,anomalous,"不普通的,不平常的：out, ordinary; 反常的，不正常的：departing",0,04/12/2020,0,0,0,0
112,anonymous    ,"匿名的：not named, identified; 无特色的：lacking individuality",0,04/12/2020,0,0,0,0
113,antagonize       ,"与...敌对，反对：opposition, counteract; 激怒：incur, provoke, hostility",0,04/12/2020,0,0,0,0
114,antediluvian    ,"非常古老的，过时的：extremely old, antiquated; 保守的人：old-fashioned",0,04/12/2020,0,0,0,0
115,anterior     ,前面的：before,0,04/12/2020,0,0,0,0
116,antic     ,滑稽可笑的：clownish,0,04/12/2020,0,0,0,0
117,apathy     ,"冷漠，缺乏情感：lack, feeling, emotion; 缺乏兴趣，不关心：lack, interest, concern",0,04/12/2020,0,0,0,0
118,aphorism     ,格言，警句：short witty,0,04/12/2020,0,0,0,0
119,apocalyptic     ,预言的，启示的：prophetic; 重要的，转折点的：major turning,0,04/12/2020,0,0,0,0
120,apocryphal      ,"假的：doubtful authenticity, spurious",0,04/12/2020,0,0,0,0
121,apoplectic       ,"极度愤怒的：extremely angry, furious",0,04/12/2020,0,0,0,0
122,apostasy     ,"放弃宗教信仰：renunciation, faith; 变节，背叛：abandonment, previous loyalty",0,04/12/2020,0,0,0,0
123,appall      ,使惊恐：consternation,0,04/12/2020,0,0,0,0
124,appeal     ,"申请：application; 起诉：charge, crime, accuse",0,04/12/2020,0,0,0,0
125,appealing   ,"吸引人的：attractive, inviting",0,04/12/2020,0,0,0,0
126,applause      ,鼓掌，认可：approval,0,04/12/2020,0,0,0,0
127,apposite     ,"相关的，合适的：pertinent, appropriate",0,04/12/2020,0,0,0,0
128,appreciable     ,可感知的，明显的：perceptible,0,04/12/2020,0,0,0,0
129,apprehension     ,"忧虑，恐惧：suspicion, fear; 逮捕：arrestment; 理解：understand",0,04/12/2020,0,0,0,0
130,apprise      ,通知，告知：inform,0,04/12/2020,0,0,0,0
131,approbation     ,同意：approval,0,04/12/2020,0,0,0,0
132,appropriate     ,"私自挪用：take possession, without permission; 适当的：suitable, fitting",0,04/12/2020,0,0,0,0
133,apropos     ,相关的：relevant; 关于，有关：having to do with,0,04/12/2020,0,0,0,0
134,apt     ,"恰当的，合适的：suitable, appropriate; 有倾向的，可能的：tendency, likely; 聪明的：intelligent, responsive",0,04/12/2020,0,0,0,0
135,archaic     ,"过时的，久远的：no, current, antiquated",0,04/12/2020,0,0,0,0
136,archetype      ,典范，榜样：ideal; 先驱，鼻祖：earlier; 原型：copies,0,04/12/2020,0,0,0,0
137,ardor     ,"狂热：strong enthusiasm, devotion, zeal",0,04/12/2020,0,0,0,0
138,arduous     ,难以做到的，费劲的：difficult,0,04/12/2020,0,0,0,0
139,argot     ,"隐语，黑话，行话：specialized, particular",0,04/12/2020,0,0,0,0
140,arrest      ,"使不活跃：inactive; 停止：stopping, standstill; 逮捕：keep; 吸引（某人）注意力：hold, attention",0,04/12/2020,0,0,0,0
141,arresting   ,"吸引人的：attracting, striking",0,04/12/2020,0,0,0,0
142,arrhythmic     ,"不规律的：lacking, regularity",0,04/12/2020,0,0,0,0
143,arrogance     ,傲慢，自大：overbearing pride,0,04/12/2020,0,0,0,0
144,articulate     ,"清晰地表达：clearly, distinctly; 表达清晰的：able, express, clearly",0,04/12/2020,0,0,0,0
145,ascendant     ,"有影响力的，主宰的：dominant, influence, superior; 上升的：upward, rising",0,04/12/2020,0,0,0,0
146,ascetic     ,"苦行的，克己的，禁欲的：self-denial; 禁欲者：person, self-discipline",0,04/12/2020,0,0,0,0
147,aseptic      ,消毒的，无菌的：preventing infection; 缺乏活力的：lacking vitality; 冷漠的：lacking emotion,0,04/12/2020,0,0,0,0
148,askew      ,不成直线的（地），歪的（地）：awry,0,04/12/2020,0,0,0,0
149,aspect     ,外表，容貌：appearance,0,04/12/2020,0,0,0,0
150,asperity     ,"（举止、性情）粗暴：roughness; （环境）艰苦：rigor, severity",0,04/12/2020,0,0,0,0
151,aspersion     ,"诽谤，中伤：harm, reputation",0,04/12/2020,0,0,0,0
152,aspirant     ,有抱负者，有野心者：aspires; 想成为···的：seeking,0,04/12/2020,0,0,0,0
153,assent   ,同意：agree,0,04/12/2020,0,0,0,0
154,assert     ,"断言，肯定地说出：declare, forcefully, aggressively",0,04/12/2020,0,0,0,0
155,assertive   ,"自信的：bold, assertion, self-assured",0,04/12/2020,0,0,0,0
156,assess     ,"评估（重要性、尺寸、价值等）：determine; 征收费用（如罚款）：charge, penalty",0,04/12/2020,0,0,0,0
157,assiduous     ,勤勉的，专心仔细的：careful,0,04/12/2020,0,0,0,0
158,assuage        ,"缓和，减轻：lessen, intensity; 平息，抚慰：pacify, calm; 使满足：satisfying",0,04/12/2020,0,0,0,0
159,astounding     ,"令人吃惊的，出乎意料的：astonishment, amazement",0,04/12/2020,0,0,0,0
160,astute     ,"机敏的，有洞察力的：shrewdness, perspicacity",0,04/12/2020,0,0,0,0
161,asunder    ,"分离成多部分或多片地：separate parts, pieces; 分离地：apart",0,04/12/2020,0,0,0,0
162,asylum      ,"收容所，保护所：refuge, protection",0,04/12/2020,0,0,0,0
163,asymmetrical     ,"不平衡的，不对称的：no balance, symmetry",0,04/12/2020,0,0,0,0
164,atone     ,赎罪，弥补：amends,0,04/12/2020,0,0,0,0
165,atrocious     ,极坏的，极其残忍的：extremely wicked; 让人极为不满的：extremely unsatisfactory,0,04/12/2020,0,0,0,0
166,attenuate,降低（数量、力量、价值）：lessen,0,04/12/2020,0,0,0,0
167,audacious,"大胆的，（但往往）愚勇的：fearlessly, recklessly; 蔑视（法律、礼节）的，无礼的：contemptuous of law; 乐于冒险的：take risks; 大胆创新的：verve",0,04/12/2020,0,0,0,0
168,augur,"预言家：predicts; 出现好兆头：signs of, successful outcome; 预言：tell, beforehand",0,04/12/2020,0,0,0,0
169,authentic,真实的，非仿造的：exactly; 准确的，相符的：original,0,04/12/2020,0,0,0,0
170,authority,"（某领域的）权威人士：a high level of knowledge; 管辖权，控制：lawful control; 影响力：power to direct; （管束他人的）权力：right, control others; 根据，理由：warrant",0,04/12/2020,0,0,0,0
171,autocracy,"独裁政府：government, unlimited power",0,04/12/2020,0,0,0,0
172,autonomy,政治上的独立：self-governing; 自我主导的自由，（尤其是）精神独立：independence,0,04/12/2020,0,0,0,0
173,avarice,贪财，贪婪：insatiable,0,04/12/2020,0,0,0,0
174,aver,"声称为真：state, forcefully; （态度强硬而明确地）声明：state clearly",0,04/12/2020,0,0,0,0
175,aversion,非常讨厌，极厌恶：dislike; 令人厌恶的事物：someone that is hated,0,04/12/2020,0,0,0,0
176,avid,"急切渴望的：enthusiasm; 贪婪（钱财）的：eager, for material possessions",0,04/12/2020,0,0,0,0
177,awash,"被淹没的：by water; （如洪水般）泛滥的：filled, covered, overrun",0,04/12/2020,0,0,0,0
178,awe,"敬畏：dread, veneration, wonder",0,04/12/2020,0,0,0,0
179,awkward,缺乏灵活性和技巧的：lacking dexterity; （处理问题）缺乏手段和智谋的：a lack of skill and tact; 臃肿笨拙的，不优雅的：lacking ease; 令人尴尬的：embarrassment; （因过大或过重设计问题）难以操作的：difficult to use,0,04/12/2020,0,0,0,0
180,awning,雨篷，遮阳篷：shelter,0,04/12/2020,0,0,0,0
181,awry,"弯曲的，扭曲的：turned, twisted; 走样的（地），出差错的（地）：off, course",0,04/12/2020,0,0,0,0
182,axiomatic,公理的：axiom; 不言自明的：self-evident,0,04/12/2020,0,0,0,0
183,babble,"发出含糊无意义的嘟囔声，胡乱说：utter, meaningless; 闲聊：rambling conversation",0,04/12/2020,0,0,0,0
184,backhanded,间接的，含沙射影的，虚情假意的：indirect,0,04/12/2020,0,0,0,0
185,badger,"不断纠缠或骚扰：harass, persistently",0,04/12/2020,0,0,0,0
186,badinage,打趣，善意的玩笑：banter,0,04/12/2020,0,0,0,0
187,bait,"逗弄，激怒：persecute, exasperate; 引诱：lead away; 诱饵：something, luring",0,04/12/2020,0,0,0,0
188,bale,痛苦，悲哀：sorrow,0,04/12/2020,0,0,0,0
189,baleful,有害的：harmful; 凶兆的，凶恶的：evil; 致命的：causing death,0,04/12/2020,0,0,0,0
190,balk,"阻碍：check, obstacle; 不愿接受，拒绝：unwillingness",0,04/12/2020,0,0,0,0
191,balky,不服管束的，倔强的：refusing,0,04/12/2020,0,0,0,0
192,ballad,（由简单诗节和叠句组成的）民歌：poem,0,04/12/2020,0,0,0,0
193,balloon,迅速增加：increase,0,04/12/2020,0,0,0,0
194,balm,"香油，止痛膏，安慰物：sweet-smelling oil, soothe; 香气：pleasant smell",0,04/12/2020,0,0,0,0
195,banal,非原创的，陈腐的：trite,0,04/12/2020,0,0,0,0
196,bane,祸根：ruin; 有害物质：kill or injure a living thing,0,04/12/2020,0,0,0,0
197,banish,"驱逐出境：leave, country; 赶出：force out",0,04/12/2020,0,0,0,0
198,banter,幽默、打趣的（地）谈话：humored,0,04/12/2020,0,0,0,0
199,barb,尖锐而严厉的批评：critical,0,04/12/2020,0,0,0,0
200,barbarous,野蛮的，凶残的：mercilessly; 未开化的：uncivilized,0,04/12/2020,0,0,0,0
201,barefaced,公然的，厚颜无耻的：brazen,0,04/12/2020,0,0,0,0
202,bargain,协议：agreement; 讨价还价：negotiate,0,04/12/2020,0,0,0,0
203,baroque,"装饰华丽的，过分雕琢的，复杂的：extravagance, complexity, flamboyance; （程度上）过分的：beyond, limit",0,04/12/2020,0,0,0,0
204,barrage,"弹幕：curtain; 有压倒之势的、集中倾泻的（如言语）：overwhelming, outpouring; （同时）袭来：attack with, overwhelming outpouring",0,04/12/2020,0,0,0,0
205,barren,"不育的：incapable, producing; 不产生结果的，无效的：no results; 贫瘠的：deficient; 极度匮乏的：lacking",0,04/12/2020,0,0,0,0
206,barricade,"障碍物：obstruction, rampart; 用障碍物阻止通过：prevent access",0,04/12/2020,0,0,0,0
207,barter,"以物换物：trade, without",0,04/12/2020,0,0,0,0
208,batch,一批次的量：unit; 一小群人：small number of persons,0,04/12/2020,0,0,0,0
209,bathetic,平凡的，陈腐的：commonplaceness,0,04/12/2020,0,0,0,0
210,bawdy,下流的，猥亵的：indecent,0,04/12/2020,0,0,0,0
211,bedeck,装饰，点缀：make more attractive,0,04/12/2020,0,0,0,0
212,belabor,"（当众）严厉批评：criticize; 就···作过度的说明，喋喋不休：explain, excessively",0,04/12/2020,0,0,0,0
213,beleaguer,包围，围攻：to surround; 使困扰，使烦恼，使消沉：trouble,0,04/12/2020,0,0,0,0
214,belie,"错误的描述，误述：picture falsely; 证明···为假：false, wrong; 掩饰：shut off from view; 与···相对立，与···相矛盾：counter",0,04/12/2020,0,0,0,0
215,bellwether,领导者，带头人：lead,0,04/12/2020,0,0,0,0
216,beneficent,仁慈的，好慈善的：charity; （对个人或社会）有益的：contributing,0,04/12/2020,0,0,0,0
217,benign,"好心的，仁慈的：kindness, gentleness; 无害的：not causing",0,04/12/2020,0,0,0,0
218,berate,"（长时间）严厉指责：scold, vehemently, at length",0,04/12/2020,0,0,0,0
219,beseech,（急切地）恳求：beg,0,04/12/2020,0,0,0,0
220,besmirch,弄脏，弄污：make dirty; 诽谤，玷污：detract from the honor,0,04/12/2020,0,0,0,0
221,bifurcate,（使）分成两支：two branches,0,04/12/2020,0,0,0,0
222,bigot,固执己见者，有偏见的人：obstinately devoted,0,04/12/2020,0,0,0,0
223,bland,味道平淡的，不刺激的：soothing; 无趣的：dull; 温和的，和蔼的：not harsh,0,04/12/2020,0,0,0,0
224,blandishment,"甜言蜜语，讨某人好话：coax, cajole",0,04/12/2020,0,0,0,0
225,blasé,（过度放纵之后）厌倦享乐的，腻厌的：apathetic,0,04/12/2020,0,0,0,0
226,blast,"爆炸：explosion; 一阵猛烈的强风：gust; 巨响：loud, sound; 炸裂，爆破：cause to break open;斥责，抨击：criticize harshly",0,04/12/2020,0,0,0,0
227,blatant,大声喧哗的：noisy; （让人生厌地）惹人注目的：noticeable,0,04/12/2020,0,0,0,0
228,blazon,使知名：make known openly; 修饰，装扮：make more attractive,0,04/12/2020,0,0,0,0
229,blemish,缺点，污点：imperfection; 损害，玷污：reduce,0,04/12/2020,0,0,0,0
230,blight,（使）枯萎：affect; 损害：impair,0,04/12/2020,0,0,0,0
231,bliss,极度快乐：ecstasy; 极乐世界：place of perfect happiness,0,04/12/2020,0,0,0,0
232,blithe,愉快高兴的：happy lighthearted; 无忧无虑的，漫不经心的：freedom from worries,0,04/12/2020,0,0,0,0
233,blueprint,"蓝图，详细计划：architects’ plans; 事先计划：work out, in advance",0,04/12/2020,0,0,0,0
234,blunder,"过失：error, mistake; 在···方面犯了很愚蠢且通常很严重的错误，糟蹋：make a stupid, error; 蹒跚：unsteadily",0,04/12/2020,0,0,0,0
235,blunt,"使变钝：less sharp; 减弱（力度等）：weaken in strength or feeling; 直率的：direct, brief",0,04/12/2020,0,0,0,0
236,blur,（使）变得朦胧，（使）变得不清楚：vague; 使不易理解：unclear to the understanding,0,04/12/2020,0,0,0,0
237,blurt,突然说出，冲动地说：abruptly,0,04/12/2020,0,0,0,0
238,bluster,狂妄自大地大声说：loudly arrogant; 大声吹嘘，恐吓：loudly; 喧闹的状态：noisy,0,04/12/2020,0,0,0,0
239,boggle,（因为怀疑、恐惧）犹豫：hesitate; 笨拙地做：unskillful way,0,04/12/2020,0,0,0,0
240,boisterous,喧嚷的，吵闹的：noisily,0,04/12/2020,0,0,0,0
241,bolster,支撑（物）：provide support；鼓励、使有精力：boost,0,04/12/2020,0,0,0,0
242,bombast,夸大的言辞：pompous,0,04/12/2020,0,0,0,0
243,bonhomie,温和，和蔼：geniality,0,04/12/2020,0,0,0,0
244,boo,"嘘（以表示不满或嘲笑）：contempt, scorn, disapproval",0,04/12/2020,0,0,0,0
245,boon,恩惠，福利：benefit; 喜欢集体活动的：enjoy the company of others,0,04/12/2020,0,0,0,0
246,boor,粗鲁的人，不敏感的人：rude,0,04/12/2020,0,0,0,0
247,bootless,无用的：useless,0,04/12/2020,0,0,0,0
248,bound,界限：beyond which a person or thing cannot go; 给···设置界限：set limits; 投入的，坚定的：fully committed,0,04/12/2020,0,0,0,0
249,boycott,联合抵制，拒绝参与：concerted refusal,0,04/12/2020,0,0,0,0
250,bracing,令人振奋的，给人带来活力的：giving strength,0,04/12/2020,0,0,0,0
251,brake,刹车：less rapid,0,04/12/2020,0,0,0,0
252,brash,愚勇的，鲁莽的：foolishly adventurous; 缺乏判断力的，不明智的：poor judgment,0,04/12/2020,0,0,0,0
253,brassy,厚脸皮的，不知羞耻的：rude boldness; 华而不实地炫耀：showy,0,04/12/2020,0,0,0,0
254,bravado,假装勇敢：pretense; 虚张声势：swaggering,0,04/12/2020,0,0,0,0
255,bravura,优秀演技（的）：brilliant,0,04/12/2020,0,0,0,0
256,brazen,蛮横大胆的，厚颜无耻的：contemptuous boldness; 大胆自信地去面对或从事：bold self-assurance,0,04/12/2020,0,0,0,0
257,breach,"（对伦理、法律准则的）破坏：breaking, moral or legal code; 违背：fail to keep",0,04/12/2020,0,0,0,0
258,brevity,简短，简洁：shortness; 精炼：few words,0,04/12/2020,0,0,0,0
259,bribe,"贿赂，收买：give, money",0,04/12/2020,0,0,0,0
260,bridle,限制,0,04/12/2020,0,0,0,0
261,brisk,充满生机的，有活力的：activity; （言辞或方式）尖刻辛辣的，刻薄的：keen or sharp,0,04/12/2020,0,0,0,0
262,bristle,怒不可遏，咆哮：anger; 供应充足，充满：copiously,0,04/12/2020,0,0,0,0
263,brittle,易碎的，脆弱的，易坏的：broken; 不热心的，不真心的：lacking in friendliness,0,04/12/2020,0,0,0,0
264,broach,开启，启封：open; 提出讨论：present,0,04/12/2020,0,0,0,0
265,bromide,陈词滥调：hackneyed,0,04/12/2020,0,0,0,0
266,brook,忍受，容许：tolerate; 小溪流：creek,0,04/12/2020,0,0,0,0
267,browbeat,恐吓：intimidate,0,04/12/2020,0,0,0,0
268,bruit,"（未经证实地）散播（消息）：make, the subject of common talk",0,04/12/2020,0,0,0,0
269,buck,阻止，反对：refuse assent; 转移，交接：shift possession,0,04/12/2020,0,0,0,0
270,budge,（使）改变立场或态度：alter a position; 停止抵抗，屈服：cease resistance,0,04/12/2020,0,0,0,0
271,bulge,"凸起：protuberant; 比赛中的优势地位：more favorable condition; 暴涨，突增，在数目或数量上突然而且是临时性的增加：sudden, usually temporary increase; 充满：copiously supplied",0,04/12/2020,0,0,0,0
272,bully,欺凌弱小者：intimidating manner; 最好的，最棒的：best,0,04/12/2020,0,0,0,0
273,bumptious,专横傲慢的，自以为是的：superiority,0,04/12/2020,0,0,0,0
274,bungle,办遭，失败：work clumsily,0,04/12/2020,0,0,0,0
275,buoy,使充满勇气和力量，使振作：courage or strength,0,04/12/2020,0,0,0,0
276,buoyant,有浮力的：floating; 心情好的：good mood or disposition,0,04/12/2020,0,0,0,0
277,burgeon,"迅速成长扩大，蓬勃发展：grow, rapidly, flourish",0,04/12/2020,0,0,0,0
278,burlesque,夸张滑稽地模仿以嘲弄他人的文学艺术作品，恶搞：make fun of,0,04/12/2020,0,0,0,0
279,burnish,擦亮，磨光：make smooth or glossy,0,04/12/2020,0,0,0,0
280,buttress,"扶墙：supporting, wall building; 为···提供支撑的证据或者信息：provide evidence or information for",0,04/12/2020,0,0,0,0
281,byzantine,"错综复杂的：complicated, secretive, interrelated",0,04/12/2020,0,0,0,0
